id,name,article,price,quantity,category
1,Масляный фильтр,MF-001,350,40,Фильтры
2,Воздушный фильтр,AF-002,280,35,Фильтры
3,Тормозные колодки передние,BP-003,1200,20,Тормоза
4,Тормозные колодки задние,BP-004,900,25,Тормоза
5,Тормозной диск,BD-005,2500,10,Тормоза
6,Моторное масло 5W-30 4л,OIL-006,1800,30,Масла
7,Моторное масло 5W-40 4л,OIL-007,2000,25,Масла
8,Антифриз 5л,COOL-008,600,20,Жидкости
9,Свеча зажигания,SP-009,250,50,Зажигание
10,Ремень ГРМ,TB-010,1500,12,Привод
11,Шаровая опора,BJ-011,800,18,Подвеска
12,Амортизатор передний,SA-012,3000,8,Подвеска
13,Стойка стабилизатора,SL-013,450,22,Подвеска
14,Лампа H7,LH-014,200,40,Электрика
15,Аккумулятор 60Ah,BAT-015,4500,6,Электрика
16,Топливный фильтр,FF-016,320,30,Фильтры
17,Салонный фильтр,CF-017,250,35,Фильтры
18,Подшипник ступицы,WB-018,1100,15,Подвеска
19,Радиатор охлаждения,RAD-019,5500,4,Охлаждение
20,Помпа водяная,WP-020,2200,7,Охлаждение
