id,client_id,amount,reason,created_at
1,1,3000,Приветственный бонус,2026-05-01
2,2,3000,Приветственный бонус,2026-05-02
3,3,3000,Приветственный бонус,2026-05-03
4,4,3000,Приветственный бонус,2026-05-04
5,5,3000,Приветственный бонус,2026-05-05
6,6,3000,Приветственный бонус,2026-05-06
7,7,3000,Приветственный бонус,2026-05-07
8,8,3000,Приветственный бонус,2026-05-08
9,9,3000,Приветственный бонус,2026-05-09
10,10,3000,Приветственный бонус,2026-05-10
11,11,3000,Приветственный бонус,2026-05-11
12,12,3000,Приветственный бонус,2026-05-12
13,13,3000,Приветственный бонус,2026-05-13
14,14,3000,Приветственный бонус,2026-05-14
15,15,3000,Приветственный бонус,2026-05-15
